 ,Area,X,Y,Perim.,Circ.,AR,Round,Solidity
672,6,3.333,393.667,8.485,1.000,1.291,0.775,0.800
673,78,252.295,397.090,32.627,0.921,1.051,0.951,0.912
674,3,64.167,395.167,5.657,1.000,1.464,0.683,0.857
675,11,186.136,395.409,11.071,1.000,1.372,0.729,0.957
676,14,232.143,397.714,13.314,0.993,1.264,0.791,0.848
677,38,30.605,400.737,33.456,0.427,1.529,0.654,0.655
678,11,46.136,398.409,11.071,1.000,1.372,0.729,0.957
679,19,53.658,399.500,15.314,1.000,1.391,0.719,0.884
680,7,117.214,398.071,9.657,0.943,1.936,0.517,0.933
681,3,291.500,397.500,6.243,0.967,3.000,0.333,1.000
682,6,332.667,398.333,8.485,1.000,1.291,0.775,0.800
683,11,355.318,398.682,11.899,0.976,1.035,0.966,0.846
684,6,386.000,398.500,7.657,1.000,1.500,0.667,1.000
685,40,142.050,401.475,22.971,0.953,1.672,0.598,0.889
686,36,241.500,402.611,27.799,0.585,2.521,0.397,0.713
687,7,176.071,400.214,9.899,0.898,1.668,0.600,0.778
688,7,203.786,400.500,9.071,1.000,1.069,0.936,0.875
689,15,9.967,402.433,13.314,1.000,1.390,0.719,0.857
690,13,172.115,401.962,12.485,1.000,1.450,0.690,0.897
691,16,369.062,404.562,20.385,0.484,3.000,0.333,0.615
692,41,51.841,405.573,30.385,0.558,1.891,0.529,0.788
693,3,154.833,402.833,5.657,1.000,1.464,0.683,0.857
694,18,260.833,404.222,16.728,0.808,1.662,0.602,0.783
695,3,359.833,403.167,5.657,1.000,1.464,0.683,0.857
696,8,104.500,405.000,10.485,0.914,1.195,0.837,0.800
697,10,404.700,405.400,12.485,0.806,1.690,0.592,0.833
698,17,215.324,406.441,15.314,0.911,1.590,0.629,0.850
699,12,330.500,406.000,11.657,1.000,1.333,0.750,1.000
700,7,83.500,406.786,9.071,1.000,1.069,0.936,0.875
701,5,91.700,407.100,7.657,1.000,1.553,0.644,0.909
702,7,230.214,407.357,13.071,0.515,3.856,0.259,0.737
703,1,272.500,406.500,2.828,1.000,1.000,1.000,1.000
704,1,0.500,407.500,2.828,1.000,1.000,1.000,1.000
705,1,27.500,407.500,2.828,1.000,1.000,1.000,1.000
706,2,68.000,407.500,4.243,1.000,2.000,0.500,1.000
707,1,88.500,407.500,2.828,1.000,1.000,1.000,1.000
708,2,113.000,407.500,4.243,1.000,2.000,0.500,1.000
709,3,136.500,407.500,6.243,0.967,3.000,0.333,1.000
710,2,178.000,407.500,4.243,1.000,2.000,0.500,1.000
